Object Number,Title,Period,Classification,Link Resource
1981.122,清　李寅　高閣觀瀑圖　軸|Viewing a waterfall from a mountain pavilion,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36133
1981.285.5,清    倣  梅清  黃海雲濤圖    扇頁|Peaks of Mount Huang,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36134
1981.285.9,明   文嘉   為項元汴作山水圖   軸|Landscape dedicated to Xiang Yuanbian,Ming dynasty (1368–1644),Paintings,http://www.metmuseum.org/art/collection/search/36135
1981.285.11,明   張祐   萬古春風圖   軸|Spring Breeze of Myriad Pasts,Ming dynasty (1368–1644),Paintings,http://www.metmuseum.org/art/collection/search/36136
1982.1.4,南宋  佚名  猿鹿圖  冊頁|Gibbons and Deer,Southern Song dynasty (1127–1279),Paintings,http://www.metmuseum.org/art/collection/search/36137
"1982.1.9a, b",明  傳謝時臣  松溪琴客圖  軸|Listening to the Zither Among Streams and Pines,Ming dynasty (1368–1644),Paintings,http://www.metmuseum.org/art/collection/search/36138
1982.1.10,,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36139
1982.3.3,明   佚名  全室宗泐題贊   白衣觀音圖   軸|White-Robed Guanyin,Ming dynasty (1368–1644),Paintings,http://www.metmuseum.org/art/collection/search/36140
1982.7.3,南宋  佚名  倣夏珪  冒雨尋莊圖  團扇|Returning Home in a Driving Rain,Southern Song dynasty (1127–1279),Paintings,http://www.metmuseum.org/art/collection/search/36141
1985.120.2,白衣観音図|White-robed Kannon,Nanbokuchō period (1336–92),Paintings,http://www.metmuseum.org/art/collection/search/36143
1985.131.1a–f,,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36144
1986.267.3,清  汪恭  摹趙孟頫肖像  軸|Copy of a Portrait of Zhao Mengfu,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36146
1986.267.4,清  改琦  插花圖  軸|Girl Arranging Flowers,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36147
1986.267.5,清  謝蘭生  山水  軸|Landscape,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36148
1986.267.6,清   潘思牧   鶴林煙雨   軸|Mist and Rain in Helin,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36149
1986.267.10,清  黃均  山水  軸|Landscape,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36150
1986.267.11,清  湯貽汾  山水  軸|Landscape,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36151
1986.267.13,清  李修易  山水  軸|Landscape,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36152
1986.267.14a–d,清　戴熙　仿古山水四屏　軸|Landscapes after old masters,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36153
1986.267.15,清  汪廷儒  山水  扇頁|Landscape,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36154
1986.267.16,清  程庭鷺  山水  冊頁|Landscape,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36155
1986.267.17,清  沈焯  山水  冊頁|Landscape,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36156
1986.267.19,清  劉德六  松鼠葡萄  扇面|Squirrel and Grape,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36157
1986.267.23,"清  吳熙載  水仙紅豆圖  軸|Narcissus, Fungus, and Nandina",Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36158
"1986.267.25a, b","清  周存伯  花卉對屏  軸|Flowers: (a) Peach-blossom and Spiritual Stone; (b) Camellia, Narcissus and Buddha's Hand",Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36159
1986.267.26,清　王素　東山報捷圖　軸|Bringing the Message of Victory to Dongshan,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36160
1986.267.27,清  趙之謙  芍藥  扇面|Peony,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36161
1986.267.29,清  趙之謙  牡丹  軸|Peonies,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36162
1986.267.34,清  胡遠  山水  軸|Landscape,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36163
1986.267.36,清  真然  竹圖  軸|Bamboo,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36164
1986.267.37,清  張熊  靈石  軸|Spiritual Stone,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36165
1986.267.38,清  張熊  八哥秋葵圖  軸|Flower and Bird,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36166
1986.267.41,清  居巢  蠶蛾  扇面|Silkworm,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36167
1986.267.43a–g,清   杜湘   仿古山水   冊|Landscapes after old masters,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36168
1986.267.44a–d,清  任薰  花鳥四條屏  軸|Birds and Flowers,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36169
1986.267.47a–h,"清  任頤  動物花鳥  冊頁八開|Animals, Flowers and Birds",Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36170
1986.267.55a–l,清  張之萬  山水  冊頁十二開|Landscapes,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36171
1986.267.56,清　舒浩　賞蓮圖　 團扇|Zhou Dunyi admiring lotus flowers,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36172
1986.267.57,清  顧澐  懷素蕉林午睡圖  扇面|Huaisu in the Banana Grove,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36173
1986.267.58,清  顧澐  山水  軸|Landscape,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36174
1986.267.59,清  顧澐  漁舟晚泊  軸|Moored at the West Cliff,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36175
1986.267.60,清  王禮  喜鶴玉蘭  軸|Magnolia and Mynahs,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36176
1986.267.62,清  吳滔  山水  軸|Landscape,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36177
1986.267.65,"清   朱偁   松鷹圖   軸|Hawk, pine, plum, and rock",Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36178
1986.267.66,清  徐祥  小鳥水仙  扇面|Birds and Narcissus,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36179
1986.267.67,清  徐祥  山水  軸|Landscape,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36180
1986.267.68,清  吳榖祥  山水  扇面|Landscape,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36181
1986.267.69,清  吳榖祥  聽泉圖  軸|Listening to the Stream,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36182
1986.267.70,清  任預  山水  軸|Landscape,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36183
1986.267.73a–h,清　居廉　花卉蟲草　冊頁　八開|Insects and Flowers,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36184
1986.267.75,清  翁同龢  水墨山水  軸|Landscape,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36185
1986.267.76,清  松年  山水  手卷|Landscape,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36186
1986.267.77,清  沙馥  松鼠葡萄  扇面|Squirrel and Grapes,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36187
1986.267.82,近代  吳石僊  春江煙雨  扇面|Misty Rain on the River in Spring,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36188
1986.267.83,近代  吳石僊  寒山雨意  軸|Rain and Clouds in Mountains,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36189
1986.267.84,清  蒲華  秋山讀書圖  軸|Reading in the Autumn Mountains,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36190
